"2015","01","04","02","   0.00"," 156.94","  18.02","   1.96","  96.69"
"2015","01","04","03","   0.00"," 162.89","  18.02","   1.88","  87.71"
"2015","01","04","04","   0.00"," 187.08","  18.73","   1.55","  82.27"
"2015","01","04","05","   0.00"," 423.10","  21.12","   1.32","  73.43"
"2015","01","04","06","   0.00"," 811.10","  23.32","   1.72","  65.91"
"2015","01","04","07","   0.00","1033.79","  24.72","   2.14","  63.90"
"2015","01","04","08","   0.00","1090.36","  25.73","   2.50","  66.57"
"2015","01","04","09","   0.00","1261.80","  26.40","   2.71","  69.19"
"2015","01","04","10","   0.00","1331.16","  26.75","   2.79","  72.77"
"2015","01","04","11","   0.00","1093.78","  26.68","   2.98","  79.10"
"2015","01","04","12","   0.00","  51.02","  26.20","   2.96","  84.46"
"2015","01","04","13","   0.00","  25.97","  24.82","   2.84","  87.10"
"2015","01","04","14","   0.00","  25.88","  23.73","   3.06","  84.92"
"2015","01","04","15","   0.00","  25.80","  22.72","   3.48","  78.57"
"2015","01","04","16","   0.00","  25.73","  21.78","   3.89","  73.49"
"2015","01","04","17","   0.00","  29.81","  20.83","   4.04","  70.85"
"2015","01","04","18","   0.00","  25.60","  19.88","   3.92","  69.77"
"2015","01","04","19","   0.00","  25.54","  19.05","   3.51","  68.90"
"2015","01","04","20","   0.00","  25.50","  18.38","   3.33","  66.56"
"2015","01","04","21","   0.00","  25.46","  17.94","   3.30","  62.72"
"2015","01","04","22","   0.00","  25.42","  17.57","   3.30","  59.63"
"2015","01","04","23","   0.00","  25.37","  17.16","   3.39","  57.22"
"2015","01","05","00","   0.00","  25.32","  16.79","   3.66","  55.07"
"2015","01","05","01","   0.00","  25.27","  16.45","   3.84","  53.06"
"2015","01","05","02","   0.00","  49.91","  17.07","   4.43","  55.16"
"2015","01","05","03","   0.00"," 166.89","  19.36","   5.04","  59.95"
"2015","01","05","04","   0.00"," 362.98","  21.52","   5.96","  64.20"
"2015","01","05","05","   0.00"," 650.46","  23.10","   6.17","  66.31"
"2015","01","05","06","   0.00"," 867.06","  24.28","   5.97","  67.64"
"2015","01","05","07","   0.00","1084.25","  25.18","   5.63","  71.05"
